C,Kernel,grado,exactitud,intervalo,tiempo_ejecucion
0.0100,0-lineal,1,0.9317,0.0110,19.5412
0.1000,0-lineal,1,0.9283,0.0113,14.4717
1.0000,0-lineal,1,0.9263,0.0114,13.5995
10.0000,0-lineal,1,0.9258,0.0115,11.8984
100.0000,0-lineal,1,0.9258,0.0115,10.4281
1000.0000,0-lineal,1,0.9258,0.0115,9.9138
0.0100,1-polinomial,1,0.7394,0.0192,92.0554
0.0100,1-polinomial,2,0.7255,0.0195,92.3770
0.0100,1-polinomial,3,0.5561,0.0217,86.4627
0.0100,1-polinomial,4,0.4230,0.0216,88.4671
0.1000,1-polinomial,1,0.9008,0.0131,32.2480
0.1000,1-polinomial,2,0.9003,0.0131,34.5160
0.1000,1-polinomial,3,0.8540,0.0154,39.9637
0.1000,1-polinomial,4,0.7902,0.0178,43.4150
1.0000,1-polinomial,1,0.9278,0.0113,11.1577
1.0000,1-polinomial,2,0.9352,0.0108,12.1520
1.0000,1-polinomial,3,0.9287,0.0113,16.1810
1.0000,1-polinomial,4,0.9013,0.0130,19.5063
10.0000,1-polinomial,1,0.9347,0.0108,7.2071
10.0000,1-polinomial,2,0.9457,0.0099,7.8178
10.0000,1-polinomial,3,0.9382,0.0105,9.6852
10.0000,1-polinomial,4,0.9278,0.0113,11.4588
100.0000,1-polinomial,1,0.9278,0.0113,7.2103
100.0000,1-polinomial,2,0.9437,0.0101,7.4363
100.0000,1-polinomial,3,0.9412,0.0103,7.8763
100.0000,1-polinomial,4,0.9292,0.0112,8.6629
1000.0000,1-polinomial,1,0.9268,0.0114,7.2808
1000.0000,1-polinomial,2,0.9447,0.0100,7.3825
1000.0000,1-polinomial,3,0.9407,0.0103,6.4674
1000.0000,1-polinomial,4,0.9297,0.0112,7.0853
0.0100,2-radial,1,0.7469,0.0190,59.1288
0.1000,2-radial,1,0.9148,0.0122,22.5934
1.0000,2-radial,1,0.9422,0.0102,9.7255
10.0000,2-radial,1,0.9502,0.0095,8.1747
100.0000,2-radial,1,0.9492,0.0096,9.3479
1000.0000,2-radial,1,0.9492,0.0096,8.4036
0.0100,3-sigmoide,1,0.6333,0.0211,60.6627
0.1000,3-sigmoide,1,0.8889,0.0137,24.9921
1.0000,3-sigmoide,1,0.8884,0.0138,12.2139
10.0000,3-sigmoide,1,0.8371,0.0162,7.0547
100.0000,3-sigmoide,1,0.8057,0.0173,5.2257
1000.0000,3-sigmoide,1,0.8022,0.0174,5.7308
